epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.0712,1.6854,4.5441,0.98574,0.01919,0.88,0.05988,0.04351,1.02583,3.66435,0.86024,0.00020004,0.00020004,0.00020004
2,43.7588,1.47926,3.87173,0.88577,0.01935,0.845,0.02898,0.0141,1.10627,3.6886,0.87254,0.000408498,0.000408498,0.000408498
3,61.8649,1.70572,3.09178,0.89392,0.01543,0.6,0.01855,0.00919,1.20229,3.71971,0.93438,0.000608375,0.000608375,0.000608375
4,79.8625,1.55617,2.73947,0.88988,0.01166,0.53,0.01297,0.00622,1.26148,3.79945,0.99332,0.00079967,0.00079967,0.00079967
5,99.1292,1.78955,5.7547,0.88229,0.00282,0.3,0.00293,0.00151,1.60363,3.94807,1.15937,0.000982383,0.000982383,0.000982383
6,116.86,1.43734,2.73942,0.92086,0.00336,0.235,0.00137,0.00059,2.09937,4.06981,1.36828,0.00115651,0.00115651,0.00115651
7,135.023,1.42224,2.77963,0.88712,0.00482,0.25,0.03004,0.01664,2.40493,4.0572,1.88797,0.00132206,0.00132206,0.00132206
8,152.831,1.64995,5.14904,0.86864,0.00533,0.29,0.0343,0.01741,2.32916,4.00344,1.64485,0.00143595,0.00143595,0.00143595
9,170.847,1.6166,2.68798,0.9255,0.96119,0.06,0.10047,0.05515,1.77002,3.74213,1.1796,0.00140295,0.00140295,0.00140295
10,189.174,1.82861,2.73954,0.90916,0.94424,0.095,0.115,0.06148,1.66614,3.6626,1.12774,0.00136994,0.00136994,0.00136994
11,207.833,1.58649,2.31073,0.93651,0.92144,0.10734,0.15124,0.08353,1.74302,3.6085,1.18336,0.00133693,0.00133693,0.00133693
12,226.136,1.39727,2.73091,0.91487,0.39119,0.115,0.16492,0.08454,1.95014,3.42541,1.46529,0.00130393,0.00130393,0.00130393
13,244.398,1.53044,2.32383,0.89749,0.46658,0.13854,0.14744,0.08289,1.98358,3.30301,1.68001,0.00127092,0.00127092,0.00127092
14,263.19,1.5362,2.1986,0.88278,0.41511,0.18,0.13901,0.08333,1.79148,3.25987,1.39919,0.00123791,0.00123791,0.00123791
15,282.174,1.50646,2.66535,0.91794,0.41184,0.16,0.13197,0.07957,1.67346,3.18716,1.37054,0.00120491,0.00120491,0.00120491
16,300.494,1.38927,2.20622,0.87112,0.46139,0.15,0.12523,0.07331,1.80439,3.41089,1.48595,0.0011719,0.0011719,0.0011719
17,318.456,1.35964,2.15209,0.88358,0.45986,0.145,0.12821,0.08754,2.14333,3.38803,1.71122,0.00113889,0.00113889,0.00113889
18,337.294,1.34109,3.84297,0.79025,0.49578,0.16,0.14465,0.09886,1.96187,3.35354,1.54646,0.00110589,0.00110589,0.00110589
19,355.775,1.45068,1.9656,0.93135,0.70118,0.175,0.16568,0.11401,2.10785,3.35823,1.47345,0.00107288,0.00107288,0.00107288
